"Rulemaking as published in 86 Federal Register 2299, dated January 12, 2021  (the “NPRM”) by ","2309 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  38Codified at 12 U.S.C. 4809. 39Public Law 103–325, 108 Stat. 2160.   4012 U.S.C. 4802(b)(1).",0.7489942312240601,TopicPresent
"Regarding how  to provide notifications , and to whom at the Federal Banking Agencies, it is ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6457253098487854,
"incident, which by definition raises potentially material risks for the banking organization;  and ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6447794437408447,
"be one factor that alone would require notification to a banking organization if the service were unavailable more than four hours.  Other material risks , such as potential data loss or compromise, ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6440359950065613,
"Rulemaking as published in 86 Federal Register 2299, dated January 12, 2021  (the “NPRM”) by ","2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.6428614258766174,
"the Bank Holding Company Act and implementing under 12 CFR §  225.28 , listing the fourteen c ategories ","2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.6391683220863342,
"Rulemaking as published in 86 Federal Register 2299, dated January 12, 2021  (the “NPRM”) by ","2311 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  ■5. Revise § 304.1 to read as follows:  § 304.1 Purpose.   This subpart informs the public where  it may obtain forms and instructions for  reports, applications, and other submittals used by the FDIC, and describes certain forms that are not described elsewhere in FDIC regulations.  ",0.6385674476623535,
"potential harm or constitutes a violation or imminent threat of violation of security policies.  We suggest that, if the Federal Banking Agencies consider alternative definitions of incident, the time element could ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6319884657859802,
Office of the Comptroller of the Currency  ,"This section of the FEDERAL REGISTER contains notices to the public of the proposedissuance of rules and regulations. Thepurpose of these notices is to give interestedpersons an opportunity to participate in therule making prior to the adoption of the finalrules. Proposed RulesFederal Register2299  Vol. 86, No. 7  Tuesday, January 12, 2021  DEPARTMENT OF THE TREASURY  Office of the Comptroller of the  Currency  12 CFR Part 53  ",0.6297389268875122,
perspective of the impacts upon their business .  The definition of “notification incident” makes clear ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6284508109092712,
Federal Banking Agencies ; ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.624640703201294,
"example, if the computer -security incident involved an interruption by the bank’s internet service ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.622542679309845,
“computer -security incident” which is proposed to be defined as an occurrence that results in actual or ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6218755841255188,
Computer -Security Incident Notification Requirements for  ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.62059485912323,
proposed regulatory requirement for timely notification to their banking organization customers of an ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6179211139678955,
 they “do not have data on the number of bank service providers that would be affected by this  ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.6166970729827881,
Federal Reserve System:  Docket N o. R-1736  RIN  7100 -AG06  ,"2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.6158230900764465,
"Rulemaking as published in 86 Federal Register 2299, dated January 12, 2021  (the “NPRM”) by ","2303 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  16Section 165(d) of the Dodd-Frank Act and the  resolution-plan rule, 12 CFR parts 363 and 381 (the  Resolution Planning Rule), require certain financial companies to report periodically to the FDIC and the Board their plans for rapid and orderly resolution in the event of material financial distress or failure. On November 1, 2019, the FDIC and the Board published in the Federal Register amendments to the Resolution Planning Rule.",0.6141883134841919,
consistent with the first two prongs of the notification incident definition.  To the extent the Federal ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.61416095495224,
please see the response to comment item 5 above regarding notification to the Federal Banking ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6112560629844666,
principles in light of the NPRM’s focus on the business relevance of proposed “notification incident s.”  ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6075504422187805,
Banking Organization s and Their Bank Service Providers  ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.6070280075073242,
"the Office of the Comptroller of the Currency (“OCC”), Board of Governors of the Federal ","This section of the FEDERAL REGISTER contains notices to the public of the proposedissuance of rules and regulations. Thepurpose of these notices is to give interestedpersons an opportunity to participate in therule making prior to the adoption of the finalrules. Proposed RulesFederal Register2299  Vol. 86, No. 7  Tuesday, January 12, 2021  DEPARTMENT OF THE TREASURY  Office of the Comptroller of the  Currency  12 CFR Part 53  ",0.6051927208900452,
"proposed notification requirements for bank service providers. Moreover, many banking organizations ","2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6044746041297913,
"Rulemaking as published in 86 Federal Register 2299, dated January 12, 2021  (the “NPRM”) by ","2305 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  22Even at an elevated labor compensation rate of  $200 per hour, the proposed rule would only  impose additional compliance costs of $600 per notification.   23This is informed by the estimate of the  percentage of banking organizations that have notification incidents.  ",0.6022090315818787,
of the Bank Service Company Examination Coordination Act (BSCECA) of 2021 (attributing to Texas Department of ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.6017556190490723,
"25 See 86 Fed. Reg. 2301, note 6 (“Bank service providers would include both bank service companies and third -","2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.6010211706161499,
description of the second aspect of the proposal requiring a bank service provider to notify banking organiz ations of a computer security incident states:  “ As technological developments  have increased in ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.6000171303749084,
estimate the number of bank service providers that are small due to the varying types of banking organizations ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.5959531664848328,
Federal Banking Agencies ; ,"2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.5952364802360535,
The first notification requirement by a banking organization to its primary Federal regulator as ,"2306 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  FMUs? For designated FMUs for which  the Board is the Supervisory Agency under Title VIII of the Dodd-Frank Act, would notification requirements best be conveyed through this proposed rule or through amendments to the Board’s Regulation HH?   7.",0.5933573246002197,
"Reserve System (“Board”) ; and the Federal Deposit Insurance Corporation (“FDIC”), collectively ","2303 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  16Section 165(d) of the Dodd-Frank Act and the  resolution-plan rule, 12 CFR parts 363 and 381 (the  Resolution Planning Rule), require certain financial companies to report periodically to the FDIC and the Board their plans for rapid and orderly resolution in the event of material financial distress or failure. On November 1, 2019, the FDIC and the Board published in the Federal Register amendments to the Resolution Planning Rule.",0.5915578007698059,
list of categories of bank service provider subject to the regulation .  This should include in one place ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.5906681418418884,
"21 See, e.g., 12 CFR § 5.35 (describ ing the procedures and requirements regarding OCC review and approval of a ","2311 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  ■5. Revise § 304.1 to read as follows:  § 304.1 Purpose.   This subpart informs the public where  it may obtain forms and instructions for  reports, applications, and other submittals used by the FDIC, and describes certain forms that are not described elsewhere in FDIC regulations.  ",0.5892964005470276,
"proposed notification requirements for bank service providers. Moreover, many banking organizations ","2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.5888712406158447,
letter  which reflect past regulatory determinations of the Federal Banking Agencies of relevance to the ,"2308 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  29See 13 CFR 121.201; 84 FR 34261 (July 18,  2019).   30State member bank data is derived from March  31, 2020 Call Reports. Data for bank holding  companies and savings and loan holding companies are derived from the June 30, 2020, FR Y–9C and FR Y–9SP.",0.5881640315055847,
"21 See, e.g., 12 CFR § 5.35 (describ ing the procedures and requirements regarding OCC review and approval of a ","2302 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  1212 U.S.C. 1867(c)(2).   13See 12 U.S.C. 1, 93a, 161, 481, 1463, 1464,  1861–1867, and 3102 (OCC); 12 U.S.C. 321–338a,  1467a(g), 1818(b), 1844(b), 1861–1867, 3101 et seq.,  and 5365 (Board); 12 U.S.C. 1463, 1811, 1813, 1817, 1819, and 1861–1867 (FDIC). 14See 12 U.S.C. 1863–64.  ",0.588032603263855,
banking organization th at is subject to the Bank Services Company Act (12 U.S.C. 1861- 1867).20 ,"2304 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  18September 30, 2020 Call Report Data. 19NAICS code 5415 most likely contains many  firms that are not bank service providers, so the  agencies believe using the population of firms in this industry is an overestimate. However, there may be some bank service providers that do not self-identify under NAICS code 5415.   20See U.S. Census Bureau, 2017 SUSB Annual  Data Tables by Establishment Industry (Mar. 2020),  https://www.census.gov/data/tables/2017/econ/ susb/2017-susb-annual.html.",0.5879615545272827,
person to ensure that notifications to the banking organization are timely received and acted upon.  This ,"2310 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  policies, security procedures, or  acceptable use policies.   (5) Notification incident is a  computer-security incident that a banking organization believes in good faith could materially disrupt, degrade, or impair—  (i) The ability of the banking organization  to carry out banking operations, activities, or  processes, or deliver banking products and services to a material portion of its customer base, in the ordinary course of business;  (ii) Any business line of a banking  organization, including associated operations, services, functions and support, and would result in a material loss of revenue, profit, or franchise value; or  (iii) Those operations of a banking  organization, including associated services, functions and support, as applicable, the failure or discontinuance of which would pose a threat to the financial stability of the United States.  ",0.5863528251647949,
The first notification requirement by a banking organization to its primary Federal regulator as ,"2307 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  26For purposes of these calculations, the agencies  assume that the frequency is 1 response per  respondent.   27The number of respondents for the reporting  requirement is based on allocating the estimated 150 notification incidents among the agencies based on the percentage of entities supervised by each agency. The FDIC represents the majority of the banking organizations (64 percent), while the Board supervises approximately 21 percent of the banking organizations, with the OCC supervising the remaining 15 percent of banking organizations.",0.5860195159912109,
within each Federal Banking Agency.  Such central point of contact  should in turn be responsible for ,"2307 Federal Register / Vol. 86, No. 7 / Tuesday, January 12, 2021 / Proposed Rules  26For purposes of these calculations, the agencies  assume that the frequency is 1 response per  respondent.   27The number of respondents for the reporting  requirement is based on allocating the estimated 150 notification incidents among the agencies based on the percentage of entities supervised by each agency. The FDIC represents the majority of the banking organizations (64 percent), while the Board supervises approximately 21 percent of the banking organizations, with the OCC supervising the remaining 15 percent of banking organizations.",0.5847328305244446,
